file,n,m,ratio1,ratio2,density,min,max,mean,std,var,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time
bip_100_0.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,678.0,310.5414,259.24016333515914,67205.46228604,84782.0,33.790327310562134,139145.0,0.20929169654846191,81252.0,47.24259567260742
bip_100_1.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,677.0,310.3694,264.9017194048389,70172.92094364,76886.0,36.84499192237854,122958.0,0.2078561782836914,76620.0,48.86987352371216
bip_100_2.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,690.0,309.2858,261.385699146606,68322.48371836,83850.0,36.50062012672424,133269.0,0.20669817924499512,79871.0,49.34645366668701
bip_100_3.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,673.0,309.598,261.2371229285761,68244.834396,82390.0,30.04105234146118,131957.0,0.20948123931884766,79459.0,50.39010214805603
bip_100_4.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,681.0,309.1558,260.64670327161247,67936.70392636,85220.0,32.437050104141235,130080.0,0.20624184608459473,83842.0,46.57354521751404
bip_100_5.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,687.0,310.215,261.59635007965994,68432.65037500001,80482.0,41.3752179145813,132891.0,0.2145063877105713,76320.0,47.48888087272644
bip_100_6.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,677.0,310.0654,260.8019032193592,68017.63272284,81084.0,31.449180603027344,128919.0,0.2123253345489502,81307.0,53.01859259605408
bip_100_7.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,682.0,308.8998,261.46541599217284,68364.16375995999,79186.0,32.34628391265869,128953.0,0.21364784240722656,82770.0,48.44652056694031
bip_100_8.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,675.0,309.3584,259.42135600108173,67299.43994943998,85183.0,32.39664053916931,132174.0,0.2134876251220703,85365.0,57.50349450111389
bip_100_9.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,695.0,310.4688,261.8594459372432,68570.36942655999,78988.0,33.04587483406067,132681.0,0.20618891716003418,81628.0,50.20931124687195
