file,n,m,ratio1,ratio2,density,min,max,mean,std,var,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time
line_100_0.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,997.0,360.837,258.20301630887275,66668.79763100001,72157.0,37.42526912689209,159765.0,0.3171417713165283,65685.0,58.234029054641724
line_100_1.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,989.0,333.3048,237.24469034513712,56285.04309696,67498.0,37.08853840827942,163134.0,0.3599205017089844,77056.0,56.47225570678711
line_100_2.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,978.0,342.882,246.103891224824,60567.125276,66366.0,35.673335313797,204946.0,0.3201873302459717,75346.0,66.6259069442749
line_100_3.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,980.0,319.0544,227.94352511234004,51958.25064064,75136.0,34.572202920913696,154156.0,0.3238637447357178,70082.0,62.3801109790802
line_100_4.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,983.0,356.0944,253.85195191024235,64440.81348864,76278.0,28.623897552490234,141924.0,0.3223280906677246,84004.0,67.35269784927368
line_100_5.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,978.0,343.7342,246.66160209963772,60841.94595036,81587.0,43.652114391326904,187921.0,0.315340518951416,79619.0,73.0644223690033
line_100_6.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,994.0,333.7266,238.06858560599716,56676.65145244,68701.0,34.2088041305542,141535.0,0.31430625915527344,76413.0,61.17428398132324
line_100_7.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,989.0,323.2022,230.93314208913367,53330.11611516,63907.0,51.7197539806366,200539.0,0.31794309616088867,61501.0,56.731590032577515
line_100_8.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,990.0,332.6738,237.02109145297598,56178.99779356,73443.0,32.34460210800171,168525.0,0.3150477409362793,84383.0,61.66713237762451
line_100_9.tsp,100,5050,0.019801980198019802,50.5,1.02020202020202,0.0,963.0,329.5956,236.568022481146,55964.42926064,79690.0,38.70026683807373,166214.0,0.3108220100402832,77010.0,65.97544002532959
line_10_0.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,58.0,20.42,14.988115291790361,224.64360000000005,299.0,0.12097597122192383,565.0,0.0010004043579101562,299.0,0.03855109214782715
line_10_1.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,83.0,32.0,23.467424230196208,550.72,610.0,0.05906820297241211,610.0,0.0010001659393310547,494.0,0.04087638854980469
line_10_2.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,84.0,27.28,21.80370610699016,475.40160000000003,414.0,0.10673022270202637,516.0,0.0010004043579101562,414.0,0.040276527404785156
line_10_3.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,81.0,36.14,29.495769188139512,870.0004000000001,365.0,0.05794119834899902,365.0,0.0,365.0,0.0400235652923584
line_10_4.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,92.0,35.12,25.878670754117177,669.7055999999998,688.0,0.08246707916259766,726.0,0.0010001659393310547,646.0,0.04156351089477539
line_10_5.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,74.0,24.44,18.470690295709037,341.1664,426.0,0.15854740142822266,898.0,0.0,426.0,0.04158592224121094
line_10_6.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,49.0,17.08,12.820046801786646,164.3536,288.0,0.11739993095397949,516.0,0.0,288.0,0.03942418098449707
line_10_7.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,86.0,32.8,26.926566806780247,725.0399999999998,486.0,0.1580944061279297,1020.0,0.0,486.0,0.04350471496582031
line_10_8.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,94.0,37.6,29.198630104852523,852.56,472.0,0.08361577987670898,658.0,0.0010008811950683594,472.0,0.04005765914916992
line_10_9.tsp,10,55,0.18181818181818182,5.5,1.2222222222222223,0.0,56.0,19.78,14.76927892620354,218.1316,281.0,0.05958271026611328,281.0,0.0,281.0,0.04209280014038086
line_20_0.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,194.0,65.97,51.10615520658936,2611.8391,2434.0,0.560969352722168,3774.0,0.0030012130737304688,2434.0,0.3167147636413574
line_20_1.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,184.0,65.65,47.92157656004235,2296.4775,2420.0,0.3537733554840088,2722.0,0.003000497817993164,2420.0,0.26570892333984375
line_20_2.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,191.0,72.765,55.220555728822575,3049.3097749999997,2449.0,0.6415817737579346,4389.0,0.0030002593994140625,2483.0,0.25989770889282227
line_20_3.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,181.0,60.23,45.246293770871446,2047.2271000000003,2286.0,0.3464500904083252,2608.0,0.003999948501586914,2284.0,0.2923412322998047
line_20_4.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,172.0,57.15,43.13928024434344,1860.9975,2084.0,0.6912722587585449,4298.0,0.003000020980834961,2066.0,0.29566192626953125
line_20_5.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,191.0,67.93,49.66986108295452,2467.0951,2676.0,0.4390878677368164,3232.0,0.00250244140625,2670.0,0.26560235023498535
line_20_6.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,168.0,50.825,39.35370852918439,1548.714375,1709.0,0.6624672412872314,3669.0,0.0030002593994140625,1737.0,0.25236034393310547
line_20_7.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,190.0,63.125,47.789218187787924,2283.809375,2165.0,0.29256105422973633,2227.0,0.0030012130737304688,2165.0,0.2574899196624756
line_20_8.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,172.0,67.415,48.88264288067903,2389.512775,2379.0,0.3629417419433594,2665.0,0.003000020980834961,2559.0,0.2983548641204834
line_20_9.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,172.0,69.555,52.96977416414006,2805.796975,2511.0,0.41267824172973633,2793.0,0.0030007362365722656,2391.0,0.2615373134613037
line_30_0.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,284.0,101.71111111111111,79.00152522359501,6241.24098765432,5928.0,0.927422285079956,8026.0,0.009505510330200195,5872.0,1.11082124710083
line_30_1.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,272.0,92.46222222222222,66.65959725480525,4443.501906172839,5740.0,0.896489143371582,6170.0,0.009505510330200195,5986.0,0.9823927879333496
