file,GILS_cost,DBMEA_cost,GRASP_cost,GILS_time,DBMEA_time,GRASP_time,min_method,n,m,ratio1,ratio2,density,avg_clustering,mst_size,tsp_approx,edge_min,edge_max,edge_mean,edge_std,edge_var,edge_q25,edge_q75,between_min,between_max,between_mean,between_std,between_var,between_q25,between_q75,closeness_min,closeness_max,closeness_mean,closeness_std,closeness_var,closeness_q25,closeness_q75
att48.tsp,226229.0,207771.0,301702.0,6.474685430526733,5.288543462753296,0.0260190963745117,DBMEA_cost,48,1176,0.04081632653061224,24.5,1.0425531914893618,0.34522656465656265,47,333391.0,0.0,2662.0,1017.5598958333334,627.5984137822,393879.7689819336,525.75,1401.5,0.021739130434782608,0.033379586802343514,0.02454319345941686,0.0029054248972573897,8.441493833603114e-06,0.022051341350601297,0.026965130023640663,0.0005743895583310929,0.0013246152978975256,0.0010115906814676349,0.00020546819940110247,4.221718096513121e-08,0.000888525750436082,0.0011908215338412942
berlin52.tsp,145419.0,143278.0,191072.0,6.054586887359619,5.374160051345825,0.0315332412719726,DBMEA_cost,52,1378,0.03773584905660377,26.5,1.0392156862745099,0.30193915162351825,51,209005.0,0.0,1716.0,564.1886094674556,345.72205216830304,119523.73735546286,294.0,782.5,0.02,0.047386114949488245,0.028546140884031602,0.008070600611506558,6.513459423045003e-05,0.02168627450980392,0.03266204144035141,0.0009186871780091509,0.002555366269165247,0.0018932731068667722,0.0005066036394601745,2.5664724751429445e-07,0.0014466753353842552,0.0023708332982397126
brazil58.tsp,532454.0,535150.0,709540.0,8.013889074325562,9.045839548110962,0.0434129238128662,GILS_cost,58,1711,0.03389830508474576,29.5,1.0350877192982457,0.21322290813954786,57,3344980.0,0.0,8700.0,2094.9143876337694,1426.139588485403,2033874.1258453147,943.0,3065.0,0.017857142857142856,0.14797062099693678,0.0365788622938772,0.024308482647317366,0.0005909023286149296,0.020050125313283207,0.04203971893116629,0.00020129322065621589,0.0007362723949520131,0.0005615356026680762,0.00014508016698738446,2.104825485308736e-08,0.00045797246038692407,0.0006921636801361684
burma14.tsp,16457.0,16457.0,18393.0,0.1562180519104004,0.0820722579956054,0.0010004043579101,GRASP_time,14,105,0.13333333333333333,7.5,1.1538461538461537,0.3414661615311484,13,24377.0,1.0,1261.0,442.61224489795916,272.51147261575125,74262.50270720533,259.0,618.0,0.0,0.03205128205128205,0.005952380952380952,0.009831003000725223,9.664862000026834e-05,0.0,0.00641025641025641,0.001312998687001313,0.0026765493102738317,0.0021932069414781824,0.000406795255600268,1.654823799788874e-07,0.0020484729067486223,0.002518181563604145
dantzig42.tsp,12392.0,12256.0,14523.0,2.579336166381836,3.3250982761383057,0.0160441398620605,DBMEA_cost,42,903,0.046511627906976744,21.5,1.048780487804878,0.3460210375121529,41,14880.0,0.0,192.0,72.29591836734694,43.481585297505724,1890.6482599842657,39.0,99.0,0.025,0.13746665129466423,0.0549901909751915,0.02807555818848562,0.000788236967595042,0.0332260397123202,0.06217670223577236,0.008369054909165136,0.01906090190609019,0.014587463087568822,0.0031178971124158445,9.72128240361106e-06,0.01175752712376467,0.016823972381490755
eil101.tsp,30309.0,30402.0,44847.0,33.69247031211853,77.14104986190796,0.224252700805664,GILS_cost,101,5151,0.0196078431372549,51.0,1.02,0.3383672759086454,100,36006.0,0.0,92.0,33.580237231643956,16.613750975647413,276.01672148082537,21.0,46.0,0.0101010101010101,0.07652309263086318,0.02771994492959858,0.01348790945995326,0.00018192370159989666,0.0148892419734387,0.03783391065109958,0.018709073900841908,0.040453074433656956,0.030641134446251626,0.005240707381103411,2.7465013854351774e-05,0.026497085320614733,0.03477051460361613
eil51.tsp,10538.0,10122.0,12622.0,4.445834636688232,6.820752143859863,0.0305237770080566,DBMEA_cost,51,1326,0.038461538461538464,26.0,1.04,0.3493946521068088,50,11486.0,0.0,86.0,31.76086120722799,15.586857204726325,242.95011752052895,20.0,43.0,0.020408163265306124,0.09390570683096276,0.04091704556977042,0.019046073808528338,0.00036275292751990917,0.02506478202221286,0.05202472776658304,0.02066969822240595,0.0423728813559322,0.03197157878503748,0.005628634414493401,3.168152537201947e-05,0.02759395345210713,0.03603607815270882
eil76.tsp,19220.0,19134.0,26419.0,15.806304931640623,24.625105381011963,0.0976178646087646,DBMEA_cost,76,2926,0.025974025974025976,38.5,1.0266666666666666,0.36095183533575775,75,21319.0,0.0,85.0,32.759349030470915,16.107539265290864,259.4528211828869,21.0,44.0,0.013513513513513514,0.07831043277683959,0.032992543824672614,0.016543511711515375,0.0002736877797490463,0.01817300991764613,0.04398096638619074,0.020706791827719492,0.04194630872483222,0.03132936376837866,0.005718807207815738,3.270475588016523e-05,0.026893775442380637,0.035864065081696345
gr48.tsp,103651.0,106126.0,141005.0,3.9509339332580566,3.431821823120117,0.0240821838378906,GILS_cost,48,1176,0.04081632653061224,24.5,1.0425531914893618,0.36989285206696265,47,508258.0,0.0,1083.0,428.76649305555554,219.69222905972146,48264.67550922912,265.75,578.0,0.021739130434782608,0.10600193824060614,0.03618232676974583,0.019416738817034793,0.00037700974628894577,0.021739130434782608,0.03988076883544044,0.0015413879050242686,0.0031446540880503146,0.0024141434024053244,0.0003959757538422203,1.5679679763091466e-07,0.0020606766499091196,0.0027037963301261387
gr96.tsp,2211194.0,2315493.0,3652290.0,31.375903606414795,40.68095803260803,0.1980652809143066,GILS_cost,96,4656,0.020618556701030927,48.5,1.0210526315789474,0.3541674842798732,95,2890846.0,1.0,9850.0,3821.365234375,1984.4914186273488,3938206.1906055873,2357.5,5197.5,0.0,0.0030981709593131766,0.0007471304591265398,0.0007168656114880132,5.138963049340832e-07,0.00011198208286674133,0.0011198208286674132,0.00016814248571231353,0.00034724379804300707,0.00026649342220359486,4.4936346812816534e-05,2.0192752648817264e-09,0.000231460613947493,0.00030551028635193895
